t,x,y,z,vx,vy,vz
0.0,0.9634677084795584,0.0,0.0084583131967691,0.0,-0.9780397371196105,0.0
0.003148273648213312,0.963542953854677,-0.0030757075879433065,0.008428669496244273,0.047669660260342576,-0.9747808005940617,-0.01878357560918987
0.006296547296426624,0.9637662418206882,-0.006131164107973434,0.008340635590903695,0.09380159879457639,-0.9652584582444697,-0.037003560913818914
0.009558138782135336,0.9641461643814153,-0.009255301594443325,0.008190614405975162,0.13854641355331926,-0.9495496783172294,-0.054761781797017
0.012968278164979991,0.9646921731663449,-0.012457944276515455,0.00797449436993406,0.18084163443899096,-0.9280026160775303,-0.07168166418667438
0.016765423466533577,0.9654585768171036,-0.015929018747465606,0.007670101306206416,0.2216979471100322,-0.8996461596730078,-0.08822845142724325
0.02118908178317356,0.9665289701085896,-0.019829282585299993,0.007242916535212163,0.2607271198264829,-0.863347841314643,-0.1043490476404769
0.02540039297872574,0.9676908204722371,-0.023390202194522786,0.006776470127251147,0.28980892038914385,-0.8277638934135793,-0.11671266806483302
0.029324649505385623,0.9688708460006711,-0.0265742081864972,0.006299721839872662,0.31066551582258917,-0.7951382017417268,-0.12591805443554066
0.0332958093796661,0.9701377240593791,-0.029668477654133586,0.005784436480589485,0.3265811631215778,-0.7635160061257279,-0.13329962371845697
0.037525920692236384,0.9715466094935351,-0.032830581257789,0.005207096410132535,0.3388119587134727,-0.7319165636490004,-0.13939320369771724
0.04217571793966544,0.9731444684406287,-0.036158406166216975,0.004546692821872265,0.3477795313176714,-0.6999650615357348,-0.14440245563456092
0.0473889165347277,0.9749742661661308,-0.0397216732231943,0.0037828505453413337,0.3535550910663416,-0.6676641838511066,-0.14838957073913792
0.05329425059559245,0.9770713529664238,-0.04356688198460815,0.0028971105180476244,0.35607876991456056,-0.6353428613257464,-0.15135648534011825
0.05996406636132046,0.9794455756270111,-0.04769639865208322,0.0018804357144047807,0.3553283381939113,-0.6037373846623331,-0.15329403725041957
0.06737159759809119,0.9820650882390096,-0.05205487488405809,0.0007407541367969773,0.35151026572214156,-0.5738738450536037,-0.1542433761670103
0.07545514271520234,0.9848817753324021,-0.05657988842801468,-0.0005069614311143517,0.3450791831838157,-0.5465086079376026,-0.15433036954673934
0.08421397058247834,0.9878677022379148,-0.061255250738701916,-0.0018564509618390723,0.3365268725166959,-0.5218409654985944,-0.15371826445609818
0.09370947296302141,0.9910149510070345,-0.06610213947223785,-0.003310863346388771,0.3262447877893992,-0.4997568036765453,-0.15255317717712547
0.1040358727061891,0.9943236172996468,-0.07115770261302434,-0.004878128612555638,0.31451808881321547,-0.4800578276216825,-0.1509501561079093
0.11530481790927433,0.9977948541622507,-0.07646534911218,-0.0065683057564736545,0.30155310321677914,-0.4625459326735388,-0.14899754496114911
0.1276414896528681,1.0014280549957864,-0.08207254367088088,-0.008392706692757374,0.2874991721309165,-0.44704074530650867,-0.14676331000259457
0.1411852944316338,1.0052195160208022,-0.08803120603592458,-0.010363728242861109,0.27246239872967043,-0.43337855823861643,-0.1442997839912967
0.15609213621574924,1.0091613785855615,-0.0943988344506684,-0.012494903897161229,0.2565143466169968,-0.4214075974993906,-0.1416468981370783
0.1725373067871261,1.0132404092597782,-0.10123979809727664,-0.014801004650869521,0.23969787766360065,-0.4109830203637876,-0.13883437771817994
0.1907187673083222,1.0174364355861902,-0.10862665952319564,-0.017298132900991355,0.22203130470092433,-0.4019620055258567,-0.13588323432385135
0.21086084041364372,1.0217203243799748,-0.11664149168291235,-0.020003788776257407,0.20351148866349428,-0.3941986554026618,-0.1328067447783751
0.23321840005642475,1.026051387484716,-0.12537714894543417,-0.02293689292248688,0.18411628674960442,-0.38753835954930116,-0.1296110219052
0.25808166517145853,1.0303740755314026,-0.134938406803152,-0.026117743739898842,0.16380668894435504,-0.3818112734876521,-0.12629523240510462
0.28578171074863123,1.0346137886954414,-0.1454428129907893,-0.029567875551405658,0.142528994033358,-0.3768245532607851,-0.12285148377602643
0.3166967594511636,1.038671594534336,-0.15702096524604195,-0.0333097606277698,0.12021749245735185,-0.3723529535870521,-0.11926438167281188
0.3512592989293917,1.0424176256780195,-0.1698157672912143,-0.03736627297350079,0.09679826337695835,-0.36812733738258463,-0.11551023248487531
0.3899638864262523,1.045682927818121,-0.18397991850897621,-0.041759779289493794,0.07219501479722186,-0.3638206224258955,-0.111555853247951
0.43337524128879895,1.0482496130087051,-0.19967047557500672,-0.04651065483045119,0.04633830890787026,-0.35903072744346265,-0.10735693305391601
0.4821355650061318,1.049839412052676,-0.21703864906806003,-0.051634905410223836,0.019180201314410728,-0.35326032574632577,-0.10285589664045192
0.5369687390682868,1.0501013139851132,-0.23621200549474788,-0.05714040521043344,-0.009282739552446437,-0.34589390880938325,-0.09797926555351387
0.5986764504043198,1.0486002870122453,-0.25726483907682146,-0.06302100883878081,-0.038973862491748015,-0.3361743465172671,-0.09263466344131066
